customer_id,income,loan_amount,age,late_payments,credit_utilization,employment_years,has_collateral,loan_purpose,defaulted
1,1800,500,24,2,0.62,2,0,personal,1
2,4200,1200,38,0,0.28,9,1,home,0
3,2600,950,31,1,0.47,5,0,business,0
4,5100,1100,45,0,0.19,14,1,home,0
5,1500,700,22,3,0.71,1,0,personal,1
6,3200,800,29,1,0.39,6,1,car,0
7,2100,900,27,2,0.58,3,0,personal,1
8,4700,1300,41,0,0.24,12,1,business,0
9,3600,1000,35,1,0.32,7,1,home,0
10,1400,650,23,4,0.77,1,0,personal,1
11,3900,1150,37,0,0.29,8,1,car,0
12,1700,720,25,3,0.69,2,0,personal,1
13,2800,880,32,1,0.44,5,1,business,0
14,4600,1250,43,0,0.22,11,1,home,0
15,1550,740,24,4,0.75,1,0,personal,1
16,3400,920,34,1,0.35,6,1,car,0
17,2300,860,28,2,0.54,4,0,personal,1
18,5000,1350,46,0,0.18,15,1,business,0
19,3100,970,33,1,0.38,7,1,home,0
20,1450,690,22,5,0.8,1,0,personal,1
21,4100,1180,39,0,0.27,9,1,car,0
22,2050,830,27,2,0.56,3,0,personal,1
23,3550,980,36,1,0.34,8,1,home,0
24,1650,710,25,3,0.67,2,0,personal,1
